Company,Item,Calories,"Total Fat
(g)","Saturated Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)",Item Type
Burger King,Triple Whopper® Sandwich with Cheese,"1,220.00 ",82.00 ,32.00 ,280.00 ,"1,470.00 ",50.00 ,2.00 ,11.00 ,71.00 ,
Burger King,Whopper JR.® Sandwich,310.00 ,18.00 ,5.00 ,40.00 ,390.00 ,27.00 ,1.00 ,7.00 ,13.00 ,
Burger King,Bacon King Sandwich,"1,150.00 ",79.00 ,31.00 ,240.00 ,"2,150.00 ",49.00 ,2.00 ,10.00 ,61.00 ,
Burger King,Cheddar Bacon King Sandwich,"1,190.00 ",84.00 ,33.00 ,235.00 ,"1,930.00 ",50.00 ,2.00 ,11.00 ,64.00 ,
Burger King,Single Quarter Pound King Sandwich,580.00 ,29.00 ,13.00 ,105.00 ,"1,310.00 ",49.00 ,2.00 ,10.00 ,32.00 ,
Burger King,Double Quarter Pound King Sandwich,900.00 ,54.00 ,25.00 ,210.00 ,"1,740.00 ",50.00 ,2.00 ,11.00 ,56.00 ,
Burger King,Single Stacker King,700.00 ,42.00 ,16.00 ,125.00 ,"1,360.00 ",48.00 ,1.00 ,10.00 ,35.00 ,
Burger King,Double Stacker King,"1,050.00 ",68.00 ,28.00 ,235.00 ,"1,870.00 ",49.00 ,1.00 ,11.00 ,61.00 ,
Burger King,IMPOSSIBLE Whopper® Sandwich,630.00 ,34.00 ,11.00 ,10.00 ,"1,080.00 ",58.00 ,4.00 ,12.00 ,25.00 ,
Burger King,Hamburger,240.00 ,10.00 ,3.50 ,35.00 ,380.00 ,26.00 ,1.00 ,6.00 ,13.00 ,
Burger King,Cheeseburger,280.00 ,13.00 ,6.00 ,45.00 ,560.00 ,27.00 ,1.00 ,7.00 ,15.00 ,
Burger King,Double Hamburger,350.00 ,18.00 ,7.00 ,70.00 ,410.00 ,26.00 ,1.00 ,6.00 ,21.00 ,
Burger King,Double Cheeseburger,390.00 ,21.00 ,9.00 ,85.00 ,590.00 ,27.00 ,1.00 ,7.00 ,23.00 ,
Burger King,Extra Long Cheeseburger,630.00 ,37.00 ,14.00 ,100.00 ,"1,050.00 ",45.00 ,2.00 ,9.00 ,29.00 ,
Burger King,Bacon Cheeseburger,320.00 ,16.00 ,7.00 ,55.00 ,710.00 ,27.00 ,1.00 ,7.00 ,17.00 ,
Burger King,Bacon Double Cheeseburger,420.00 ,24.00 ,10.00 ,90.00 ,740.00 ,27.00 ,1.00 ,7.00 ,25.00 ,
