Meal Names,Calories,Total Fat,Saturated Fat,Cholesterol,Protein,Carbs,Sodium,Fiber,Sugars
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side, McDonald’s - Hotcakes, Wendy’s - Double Stack",1655.0,71.0,14.5,175.0,67.0,191.0,2250.0,16.0,21.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Chips regular - Side, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Cheese - Top, McDonald’s - Fruit & Maple Oatmeal",1775.0,75.0,14.0,230.0,79.0,197.0,2260.0,19.0,35.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Carnitas - Pro, Chipotle - Guacomole (Side) - Top, McDonald’s - Fruit & Maple Oatmeal",1550.0,64.5,20.0,155.0,71.0,172.0,2270.0,26.0,37.0
"Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Guacomole (Side) - Top, McDonald’s - Fruit & Maple Oatmeal, Wendy’s - Jr. Bacon Cheeseburger",1510.0,74.0,25.5,240.0,68.0,142.0,2150.0,15.0,40.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Guacomole (Side) - Top, McDonald’s - Fruit & Maple Oatmeal",1530.0,72.0,26.5,340.0,83.0,143.0,1710.0,16.0,39.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Side) - Top, McDonald’s - Fruit & Maple Oatmeal, Subway - 6"" Tuna",1520.0,59.5,15.5,225.0,79.0,169.0,2140.0,19.0,41.0
"Burger King - Kids Oatmeal, Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Chips regular - Side, Subway - Footlong Veggie Delite",1690.0,46.5,7.5,130.0,71.0,254.0,2140.0,29.0,26.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Sonic - Sonic Cheeseburger W/ Ketchup",1570.0,82.0,28.5,240.0,67.0,135.0,2170.0,7.0,25.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips large - Side, Pizza Hut - Hand Tossed Slices Chicken Bacon Parmesan Small, Wendy’s - Seasoned Home-Style Potatoes, Medium",1710.0,73.0,17.0,180.0,60.0,207.0,2300.0,17.0,5.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Guacomole (Side) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Sour Cream - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1520.0,64.0,20.5,210.0,69.0,167.0,2065.0,27.0,27.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1740.0,68.5,13.5,140.0,73.0,207.0,2195.0,27.0,21.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side",1755.0,72.5,14.0,245.0,80.0,197.0,1880.0,21.0,13.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Romaine Lettuce - Top",1785.0,81.0,14.5,165.0,62.0,206.0,2100.0,17.0,21.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Sour Cream - Top, McDonald’s - Hotcakes and Sausage",1635.0,73.0,24.0,280.0,89.0,160.0,2260.0,20.0,22.0
"Burger King - Kids Oatmeal, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chips large - Side",1905.0,71.0,12.5,165.0,75.0,247.0,2240.0,33.0,19.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Queso Blanco (Side) - Top, McDonald’s - Fruit & Maple Oatmeal, Taco Bell - Nachos BellGrande® – Steak",1710.0,82.0,17.5,210.0,64.0,176.0,2200.0,23.0,39.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chips large - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar, McDonald’s - Hamburger",1830.0,72.0,20.0,190.0,69.0,233.0,2135.0,19.0,27.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carne Asada - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chips regular - Side, KFC - KENTUCKY GRILLED CHICKEN Drumstick",1530.0,71.5,10.0,155.0,58.0,168.0,2110.0,15.0,18.0
