Combinations,Calories,Total Fat,Saturated Fat,Cholestorol,Protein,Carbs,Sodium,Fiber,Sugars
"Chipotle - Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Side) - Top",660.0,32.0,9.5,140.0,39.0,53.0,1450.0,4.0,4.0
"Chipotle - Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Chips regular - Side",1100.0,41.5,4.0,125.0,54.0,134.0,1390.0,17.0,2.0
"Chipotle - Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips large - Side",1215.0,52.0,7.0,80.0,39.0,152.0,1400.0,15.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips large - Side",1185.0,54.0,7.0,65.0,38.0,142.0,1120.0,16.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro",540.0,12.5,3.5,125.0,45.0,66.0,1020.0,10.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top",495.0,13.5,3.5,80.0,33.0,60.0,730.0,11.0,2.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",615.0,16.5,3.0,80.0,37.0,76.0,1400.0,12.0,3.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro",490.0,15.0,3.0,80.0,30.0,56.0,1080.0,5.0,2.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Guacomole (Side) - Top",640.0,35.0,11.0,125.0,39.0,49.0,1020.0,9.0,3.0
"Chipotle - Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carne Asada - Pro, Chipotle - Romaine Lettuce - Top",635.0,23.5,6.0,100.0,44.0,63.0,1430.0,11.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Sofritas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",460.0,17.5,2.5,0.0,16.0,66.0,1230.0,9.0,11.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Chips large - Side",1220.0,49.0,7.0,125.0,48.0,155.0,1400.0,13.0,4.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top",530.0,25.0,12.5,105.0,29.0,42.0,830.0,1.0,2.0
